https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume EUR
1743379200,2025-03-31 00:00:00,ETH/EUR,1669.4,1669.4,1668.6,1668.6,19.79958059,33037.580172474
1743292800,2025-03-30 00:00:00,ETH/EUR,1688.7,1707.0,1637.4,1669.0,1940.91783467,3239391.86606423
1743206400,2025-03-29 00:00:00,ETH/EUR,1751.3,1766.6,1664.0,1689.0,1788.62854846,3020993.6183489403
1743120000,2025-03-28 00:00:00,ETH/EUR,1850.8,1865.5,1720.6,1750.7,1967.65966672,3444781.778526704
1743033600,2025-03-27 00:00:00,ETH/EUR,1870.8,1890.2,1843.2,1854.3,765.35194453,1419192.110741979
1742947200,2025-03-26 00:00:00,ETH/EUR,1913.4,1926.2,1844.0,1870.4,1204.25184137,2252432.644098448
1742860800,2025-03-25 00:00:00,ETH/EUR,1926.4,1941.0,1887.5,1917.3,1127.54153971,2161835.3940859833
1742774400,2025-03-24 00:00:00,ETH/EUR,1850.2,1944.3,1827.1,1928.4,2036.04169070,3926302.79634588
1742688000,2025-03-23 00:00:00,ETH/EUR,1830.5,1867.4,1830.3,1847.8,767.99461872,1419100.456470816
1742601600,2025-03-22 00:00:00,ETH/EUR,1816.4,1853.0,1816.4,1830.4,548.12161569,1003281.805358976
1742515200,2025-03-21 00:00:00,ETH/EUR,1826.5,1838.1,1787.0,1816.2,932.62085073,1693825.9890958262
1742428800,2025-03-20 00:00:00,ETH/EUR,1886.0,1894.1,1799.0,1826.8,1089.72309557,1990706.1509872759
1742342400,2025-03-19 00:00:00,ETH/EUR,1767.3,1900.0,1762.5,1885.6,2822.27869430,5321688.70597208
1742256000,2025-03-18 00:00:00,ETH/EUR,1764.6,1767.8,1711.7,1766.8,1247.39295242,2203893.868335656
1742169600,2025-03-17 00:00:00,ETH/EUR,1733.8,1787.1,1728.0,1764.3,1593.53761991,2811478.422807213
1742083200,2025-03-16 00:00:00,ETH/EUR,1782.0,1785.2,1712.5,1735.3,2068.93785225,3590227.855009425
1741996800,2025-03-15 00:00:00,ETH/EUR,1757.7,1800.0,1751.8,1782.0,1306.96484270,2329011.3496914
1741910400,2025-03-14 00:00:00,ETH/EUR,1717.2,1789.0,1714.1,1757.1,2013.12179276,3537256.3020585957
1741824000,2025-03-13 00:00:00,ETH/EUR,1753.7,1769.8,1678.0,1717.1,2461.84820786,4227239.557716406
1741737600,2025-03-12 00:00:00,ETH/EUR,1762.1,1791.0,1679.0,1754.8,3367.57164010,5909414.714047479
1741651200,2025-03-11 00:00:00,ETH/EUR,1720.6,1796.1,1616.2,1761.1,4359.25535456,7677084.604915616
1741564800,2025-03-10 00:00:00,ETH/EUR,1860.6,1987.1,1671.7,1720.5,4778.52599200,8221453.9692359995
1741478400,2025-03-09 00:00:00,ETH/EUR,2034.2,2042.2,1833.8,1858.9,2697.60792895,5014583.379125155
