currency_id,currency,CZK,DKK,EUR,GBP,USD,BTC
1,CZK,1,0.29453,0.03949,0.03383,0.04252,6.5e-7
2,EUR,25.32044,7.45771,1,0.85655,1.07654,0.000016469
3,DKK,3.3952,1,0.13409,0.11485,0.14435,0.00000221
4,GBP,29.56096,8.70668,1.16747,1,1.25683,0.000019138
5,USD,23.5202,6.92748,0.9289,0.79565,1,0.000015463
6,BTC,1530460.750732,452382.798367,60483.396497,52256.401996,64622.155228,1
