Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
EXCHANGE,Current,08/07/2024 20:49,08/07/2024 20:49,xxx,109,0,USD,COMPLETED,190
TRANSFER,Current,8/26/2024 16:49,8/26/2024 16:49,xxx,-175,0,USD,COMPLETED,15
EXCHANGE,Current,8/26/2024 16:52,8/26/2024 16:52,xxx,187,0,USD,COMPLETED,"202,0"
TRANSFER,Current,9/23/2024 16:44,9/23/2024 16:44,xxx,"-98,0",0,USD,COMPLETED,104
EXCHANGE,Current,11/11/2024 11:41,11/11/2024 11:41,xxx,1385,"8,25",USD,COMPLETED,1468
EXCHANGE,Current,11/11/2024 15:57,11/11/2024 15:57,xxx,89,"1,61",USD,COMPLETED,1553
CARD_PAYMENT,Current,11/12/2024 09:11,11/12/2024 16:35,xxx,"-62,0",0,USD,COMPLETED,1491
CARD_PAYMENT,Current,12/30/2024 13:00,12/31/2024 12:12,xxx,-48,0,USD,COMPLETED,1442
EXCHANGE,Current,03/09/2024 16:00,03/09/2024 16:00,xxx,-256,"1,02",DKK,COMPLETED,1167
EXCHANGE,Current,03/11/2024 08:46,03/11/2024 08:46,xxx,-1125,0,DKK,COMPLETED,42
TOPUP,Current,03/12/2024 17:45,03/12/2024 17:46,xxx,2500,0,DKK,COMPLETED,2542
EXCHANGE,Current,03/12/2024 17:48,03/12/2024 17:48,xxx,-1000,0,DKK,COMPLETED,1542
ATM,Current,3/14/2024 16:26,3/15/2024 18:28,xxx,-1250,0,DKK,COMPLETED,292
TOPUP,Current,3/23/2024 13:45,3/23/2024 13:46,xxx,3750,0,DKK,COMPLETED,4042
EXCHANGE,Current,3/23/2024 13:48,3/23/2024 13:48,xxx,-2946,0,DKK,COMPLETED,1096
TOPUP,Current,04/01/2024 18:31,04/01/2024 18:32,xxx,12500,0,DKK,COMPLETED,13596
EXCHANGE,Current,04/01/2024 18:46,04/01/2024 18:46,xxx,-609,0,DKK,COMPLETED,12987
EXCHANGE,Current,04/01/2024 18:53,04/01/2024 18:53,xxx,-2500,0,DKK,COMPLETED,10487
EXCHANGE,Current,04/02/2024 20:14,04/02/2024 20:14,xxx,-750,0,DKK,COMPLETED,9737
